,word,count
0,Water,876
1,Cloud,827
2,Sky,1303
3,Plant,1008
4,Water resources,210
5,Building,428
6,Daytime,66
7,Mountain,508
8,Azure,252
9,Tree,616
10,Atmosphere,166
11,Highland,434
12,Atmospheric phenomenon,94
13,Horizon,163
14,Landscape,269
15,Lake,344
16,Cumulus,55
17,Bank,54
18,Nature,208
19,Natural landscape,559
20,Wedding dress,1
21,Bride,1
22,Dress,5
23,Bridal clothing,1
24,Flash photography,38
25,Fashion,9
26,Gesture,30
27,Bridal party dress,1
28,Gown,1
29,Happy,29
30,Rectangle,70
31,Body of water,96
32,Swimming pool,87
33,Window,281
34,Tints and shades,63
35,Coastal and oceanic landforms,192
36,Suit,6
37,Plastic bottle,2
38,Drinkware,25
39,Science,3
40,Engineering,7
41,Customer,2
42,Event,62
43,Tableware,38
44,Fun,36
45,Room,4
46,Wood,231
47,Font,64
48,Metal,9
49,Fashion accessory,3
50,Audio equipment,23
51,Nickel,2
52,Cash,1
53,Currency,1
54,Circle,11
55,Wire,1
56,Stemware,6
57,Table,46
58,Dishware,12
59,Wine glass,5
60,Barware,15
61,Plate,13
62,Champagne stemware,2
63,Cutlery,2
64,Mountainous landforms,44
65,Fog,18
66,Vehicle,137
67,Rolling,17
68,Mountain range,19
69,World,19
70,Space,9
71,Meteorological phenomenon,5
72,Urban design,50
73,Cityscape,3
74,Smile,56
75,Chair,29
76,Wine,9
77,Kitchen utensil,1
78,Fork,2
79,Serveware,7
80,Tablecloth,2
81,Table knife,1
82,Spoon,1
83,Glasses,10
84,Microphone,74
85,Eyewear,28
86,Vision care,14
87,Travel,78
88,Tie,7
89,Light,30
90,Interior design,16
91,Art,52
92,Sculpture,17
93,Statue,10
94,Flooring,26
95,Glass,23
96,Stained glass,12
97,Property,71
98,Fixture,54
99,Architecture,35
100,House,193
101,Outdoor bench,5
102,Outdoor furniture,9
103,Leisure,177
104,Sunlight,111
105,Grass,233
106,Shade,30
107,Mesh,2
108,Windshield,1
109,Arm,9
110,Human body,16
111,Balance,1
112,Knee,6
113,Elbow,3
114,Terrain,76
115,Infrastructure,58
116,Asphalt,77
117,Road surface,142
118,Land lot,211
119,Car,33
120,Wheel,62
121,Tire,49
122,Plant community,47
123,Agriculture,80
124,Plain,36
125,Grassland,51
126,Ecoregion,110
127,Natural environment,32
128,Tar,3
129,Mode of transport,26
130,Thoroughfare,23
131,Windscreen wiper,2
132,Automotive exterior,5
133,Slope,186
134,Roof,27
135,Rural area,36
136,City,63
137,Shorts,39
138,Hat,49
139,Headgear,36
140,Sun hat,12
141,Flower,69
142,Leaf,44
143,Green,44
144,Twig,25
145,Grape leaves,4
146,Flowering plant,17
147,Annual plant,8
148,Ceiling,6
149,Pattern,10
150,People in nature,51
151,Rainbow,1
152,Afterglow,59
153,Fluid,47
154,Dusk,75
155,Sunset,22
156,Jeans,20
157,Working animal,13
158,Public space,16
159,Vegetation,101
160,Automotive tire,15
161,Composite material,10
162,Wall,32
163,Material property,15
164,Parallel,8
165,Morning,19
166,Flowerpot,25
167,Neighbourhood,58
168,Alley,13
169,Residential area,42
170,Botany,25
171,Terrestrial plant,16
172,Food,34
173,Fruit,7
174,Seedless fruit,5
175,Grapevine family,1
176,Produce,5
177,Fruit tree,2
178,Line,14
179,Facade,85
180,Fence,38
181,Headland,4
182,Calm,9
183,Street light,42
184,Motor vehicle,52
185,Automotive mirror,4
186,Extinction,1
187,Organism,9
188,Biome,27
189,Cottage,29
190,Black,22
191,Black-and-white,31
192,Style,16
193,Temple,13
194,Bicycle,11
195,Land vehicle,9
196,Bicycles--Equipment and supplies,8
197,Bicycle wheel,7
198,Liquid,31
199,Watercourse,16
200,Boat,73
201,Leg,11
202,Street fashion,16
203,Shrub,22
204,Herbaceous plant,4
205,Terrace,12
206,Petal,15
207,Pedicel,1
208,Pollen,1
209,Narcissus,1
210,Macro photography,3
211,Brick,16
212,Brickwork,11
213,Gas,34
214,Signage,12
215,Nameplate,2
216,Electric blue,13
217,Cap,63
218,Baseball cap,9
219,Road,42
220,Snow,46
221,Aircraft,1
222,Airplane,1
223,Helicopter rotor,1
224,Helicopter,1
225,Automotive design,13
226,Dress shirt,3
227,Passenger,2
228,T-shirt,32
229,Personal luxury car,1
230,Groundcover,30
231,Orange,18
232,Sunrise,11
233,Red sky at morning,4
234,Hedge,7
235,Door,30
236,Symmetry,23
237,Candle,4
238,Sharing,4
239,Cuisine,15
240,Dish,14
241,Wheelbarrow,1
242,Electricity,55
243,Meadow,4
244,Archaeological site,4
245,Billboard,3
246,Triangle,3
247,Technology,5
248,Real estate,18
249,Tower,13
250,Flag,19
251,Wind,6
252,Waterway,15
253,Recreation,58
254,Purple,12
255,Darkness,13
256,Moon,2
257,Astronomical object,6
258,Sun,1
259,Lens flare,3
260,Automotive parking light,11
261,Vehicle registration plate,2
262,Stone wall,7
263,Hill,11
264,Traffic sign,2
265,Parking,1
266,Bicycle handlebar,6
267,Bicycle tire,7
268,Bicycle frame,6
269,Camera lens,9
270,Camera accessory,7
271,Camera,4
272,Digital camera,3
273,Reflex camera,6
274,Lens,5
275,Cameras & optics,6
276,Bedrock,14
277,Buoyancy compensator,1
278,Diving equipment,2
279,Divemaster,2
280,Diving mask,1
281,Personal protective equipment,4
282,Glove,1
283,Sports,33
284,Crew,2
285,Clothing,10
286,Head,8
287,Cool,3
288,Toddler,2
289,Summer,8
290,Pink,2
291,Violet,1
292,Magenta,4
293,Coat,5
294,Grey,18
295,Bouleuterion,1
296,Amphitheatre,2
297,Ancient history,2
298,Glacial landform,3
299,Freezing,20
300,Blue,68
301,Haze,4
302,Mist,1
303,Dawn,1
304,Tool,1
305,Titanium,1
306,Screw,1
307,Steel,1
308,Larch,11
309,Evergreen,8
310,Trunk,13
311,Vine,3
312,Grape,1
313,Woody plant,21
314,Natural foods,5
315,Public utility,3
316,Bicycle fork,1
317,Goggles,8
318,Watercraft,58
319,Naval architecture,14
320,Passenger ship,1
321,Ship,7
322,Steamboat,2
323,Furniture,18
324,Face,5
325,White,14
326,Muscle,34
327,Address sign,1
328,Street sign,1
329,Landmark,9
330,Wire fencing,2
331,Boats and boating--Equipment and supplies,28
332,Dock,7
333,Crankset,3
334,Communication Device,1
335,Gadget,1
336,Display device,4
337,Tablet computer,1
338,Brown,7
339,Terrestrial animal,3
340,Geological phenomenon,5
341,Scaled reptile,1
342,Turret,5
343,Medieval architecture,11
344,Castle,3
345,Monument,5
346,History,4
347,Train,58
348,Rolling stock,45
349,Track,40
350,Locomotive,4
351,Railway,18
352,Outerwear,6
353,Bridge,2
354,Handrail,1
355,Religious institute,6
356,Facial expression,4
357,Iris,1
358,Formation,5
359,Tower block,6
360,Condominium,4
361,Paint,10
362,Building material,3
363,Stairs,5
364,Outcrop,2
365,Pole,5
366,Soil,3
367,Bermuda shorts,1
368,Arecales,1
369,Girder bridge,3
370,Horse,6
371,Liver,1
372,Long hair,1
373,Waterfall,1
374,Chute,1
375,Community,8
376,Social group,7
377,Hair,4
378,Human,14
379,Forehead,8
380,Lip,6
381,Chin,6
382,Eyebrow,5
383,Shoulder,2
384,Eye,6
385,Eyelash,5
386,Neck,5
387,Ear,7
388,Artifact,5
389,Lighting,20
390,Vault,9
391,Bench,6
392,Arch,14
393,Mixed-use,2
394,Wind wave,7
395,Grazing,2
396,Fawn,3
397,Dog,12
398,Carnivore,14
399,Collar,3
400,Dog supply,1
401,Dog breed,9
402,Pet supply,4
403,Dog collar,1
404,Companion dog,8
405,Surfboard,1
406,Sports equipment,7
407,Surfing,1
408,Surfing Equipment,1
409,Clock,7
410,Truck,1
411,Musical instrument,109
412,Church bell,1
413,Idiophone,17
414,Bell,1
415,Arcade,8
416,Chapel,6
417,Vertebrate,19
418,Mammal,7
419,Sunglasses,16
420,Auto part,4
421,Measuring instrument,2
422,Watch,4
423,Automotive wheel system,3
424,Amber,9
425,Branch,31
426,Heat,4
427,Automotive lighting,16
428,Houseplant,16
429,Overhead power line,12
430,Flag of the united states,1
431,Picture frame,13
432,Yellow,18
433,Sorrel,1
434,Column,3
435,Footwear,7
436,Photograph,21
437,Jacket,10
438,paddlewheel,1
439,Paddle steamer,1
440,Bird,11
441,Beak,10
442,Lari,5
443,Seabird,7
444,Gull,5
445,Wing,10
446,Antenna,1
